PROJECT,STATUS ,NATIONWIDE_ID,AP SITE CODE,LOCATION NAME,AP SITE NAME,BARANGAY,LOC ID,PROV ID,Locality ,Province,ISLAND GROUP,SITE TYPE,CMS PROVIDER,LINK PROVIDER,LAST MILE TECHNOLOGY,BW DOWNLOAD (CIR),LATITUDE,LONGITUDE,DATE OF ACTIVATION,Accepted?,Total Unique Users,8-Jan-26,Bandwidth Utilization/Remarks,Total Users,9-Jan-26,Bandwidth Utilization/Remarks,Total Users,12-Jan-26,Bandwidth Utilization/Remarks,Total Users,13-Jan-26,Bandwidth Utilization/Remarks,Total Users,14-Jan-26,Bandwidth Utilization/Remarks,Total Users,15-Jan-26,Bandwidth Utilization/Remarks,Total Users,16-Jan-26,Bandwidth Utilization/Remarks,Total Users,19-Jan-26,Bandwidth Utilization/Remarks,Total Users,20-Jan-26,Bandwidth Utilization/Remarks,Total Users,21-Jan-26,Bandwidth Utilization/Remarks,Total Users,22-Jan-26,Bandwidth Utilization/Remarks,Total Users,23-Jan-26,Bandwidth Utilization/Remarks,Total Users,26-Jan-26,Bandwidth Utilization/Remarks,Total Users,27-Jan-26,Bandwidth Utilization/Remarks,Total Users,28-Jan-26,Bandwidth Utilization/Remarks,Total Users,29-Jan-26,Bandwidth Utilization/Remarks,Total Users,30-Jan-26,Bandwidth Utilization/Remarks,Total Users
Emergency Procurement,REBATES,131587,SINAG-R2-007A,MDRRMO Buguey,MDRRMO Buguey Lobby ,Centro (Pob.),L3-0193,6,Buguey,Cagayan,LUZON,DRRMO,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,18.457295,122.142854,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.8316,7,UP,0.014,9,UP,1.99,13,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,131587,SINAG-R2-007B,MDRRMO Buguey,MDRRMO Buguey Grounds,Centro (Pob.),L3-0193,6,Buguey,Cagayan,LUZON,DRRMO,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,18.457295,122.142854,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.51271,23,UP,1.45,18,UP,1.09,16,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,131589,SINAG-R2-008A,MDRRMO Calayan,MDRRMO Calayan Office,Poblacion,L3-0196,6,Calayan,Cagayan,LUZON,DRRMO,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,19.261818,121.475263,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,43829,II-016A,Batanes General Hospital,Batanes General Hospital - Hospital Lobby,Kayhuvokan,L3-0160,5,Basco,Batanes,Luzon,HSP,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,16.42438,120.60455,24-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,43829,II-016B,Batanes General Hospital,Batanes General Hospital - Nurse Station,Kayhuvokan,L3-0160,5,Basco,Batanes,Luzon,HSP,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,16.42438,120.60455,24-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,43829,II-016C,Batanes General Hospital,Batanes General Hospital - OPD Station,Kayhuvokan,L3-0160,5,Basco,Batanes,Luzon,HSP,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,16.42438,120.60455,24-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,118682,II-017A,Batanes State College,Batanes State College - Building Entrance,San Antonio,L3-0160,5,Basco,Batanes,Luzon,HEI-SUC,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,16.37684,120.626324,24-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,118682,II-017B,Batanes State College,Batanes State College - 2F Left Wing,San Antonio,L3-0160,5,Basco,Batanes,Luzon,HEI-SUC,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,16.37684,120.626324,24-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,118682,II-017C,Batanes State College,Batanes State College - Faculty Station,San Antonio,L3-0160,5,Basco,Batanes,Luzon,HEI-SUC,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,16.37684,120.626324,24-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,127593,II-018A,DICT Batanes Provincial Office,DICT Batanes Provincial Office - DICT Lobby,San Antonio,L3-0160,5,Basco,Batanes,Luzon,PFO/RO,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,20.452515,121.965885,13-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,127593,II-018B,DICT Batanes Provincial Office,DICT Batanes Provincial Office - Facing DENR and DA,San Antonio,L3-0160,5,Basco,Batanes,Luzon,PFO/RO,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,20.452515,121.965885,13-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,127593,II-018C,DICT Batanes Provincial Office,DICT Batanes Provincial Office - DICT Entrance Gate,San Antonio,L3-0160,5,Basco,Batanes,Luzon,PFO/RO,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,20.452515,121.965885,13-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,42057,II-019A,Batanes Provincial Capitol,Batanes Provincial Capitol - HRTC,Kayhuvokan,L3-0160,5,Basco,Batanes,Luzon,PC,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,20.452852,121.965096,24-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,42057,II-019B,Batanes Provincial Capitol,Batanes Provincial Capitol - Back Hallway (near Landbank),Kayhuvokan,L3-0160,5,Basco,Batanes,Luzon,PC,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,20.452852,121.965096,24-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,42057,II-019C,Batanes Provincial Capitol,Batanes Provincial Capitol - Facing Capitol Grounds,Kayhuvokan,L3-0160,5,Basco,Batanes,Luzon,PC,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,20.452852,121.965096,24-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,42268,II-020A,Mahatao Municipal Hall,Mahatao Municipal Hall - Conference Hall,Uvoy (Pob.),L3-0175,5,Mahatao,Batanes,Luzon,LGU-HALL,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,20.370161,121.915192,25-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,42268,II-020B,Mahatao Municipal Hall,Mahatao Municipal Hall - Covered Court,Uvoy (Pob.),L3-0175,5,Mahatao,Batanes,Luzon,LGU-HALL,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,20.370161,121.915192,25-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS MUN,ONGOING,42268,II-020C,Mahatao Municipal Hall,Mahatao Municipal Hall - Facing Mahatao ES,Uvoy (Pob.),L3-0175,5,Mahatao,Batanes,Luzon,LGU-HALL,"Limitless Tech Solutions, Inc.","Limitless Tech Solutions, Inc.",LEO,50,20.370161,121.915192,25-Oct-23,Yes,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,,NO NMS,,
PICS-PP Phase 2,ONGOING,74161,PICS-PPph2-R02-001,Tukon Barrio School,Tukon Barrio School,Chanarian,L3-0160,5,Basco,Batanes,Luzon,PES,PHILCOMSAT,PHILCOMSAT,LEO,75,20.446153,121.968964,15-Sep-24,Yes,,UP,0,1,UP,1.59,3,UP,0.38,1,UP,0,1,UP,0,1,UP,0,1,UP,4.23,2,UP,0.09,1,UP,3.2,2,UP,0,0,UP,0.55,2,UP,0,1,UP,0.06217,1,UP,0.02851,1,UP,0,2,UP,0,1,UP,0,3
PICS-PP Phase 2,ONGOING,74159,PICS-PPph2-R02-002,Chanarian Elementary School,Chanarian Elementary School,Chanarian,L3-0160,5,Basco,Batanes,Luzon,PES,PHILCOMSAT,PHILCOMSAT,LEO,75,20.446536,121.973782,15-Sep-24,Yes,,UP,0,2,UP,0.05,4,UP,0.00049,1,UP,0,1,UP,0,1,UP,1.65,5,UP,0.45,3,UP,1.75,5,UP,0,2,UP,0.03,1,UP,3.82,7,UP,0.02,5,UP,1.24,5,UP,1.19,4,UP,0,1,UP,0.05048,6,UP,0.78585,3
PICS-PP Phase 2,ONGOING,74160,PICS-PPph2-R02-003,Diptan Elementary School,Diptan Elementary School,San Antonio,L3-0160,5,Basco,Batanes,Luzon,PES,PHILCOMSAT,PHILCOMSAT,LEO,75,20.449173,121.969293,15-Sep-24,Yes,,UP,1.25,8,UP,0.7347,2,UP,0.52,6,UP,0.53333,3,UP,0.14528,3,UP,0.0013,3,UP,1.25,7,UP,1.86,8,UP,32.61,1,UP,0.25,6,UP,3.37,4,UP,1.61,6,UP,0.03337,2,UP,0,2,UP,1.41251,4,UP,0.0076,6,UP,1.71,7
PICS-PP Phase 2,ONGOING,3285,PICS-PPph2-R02-004,Ihubok I (Kaychanarianan) Barangay Hall,Ihubok I (Kaychanarianan) Barangay Hall,Ihubok I,L3-0160,5,Basco,Batanes,Luzon,LGU-BRGY,PHILCOMSAT,PHILCOMSAT,LEO,75,20.448934,121.974447,15-Sep-24,Yes,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,0,0,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,,DOWN,8/9/2025,
PICS-PP Phase 2,ONGOING,3287,PICS-PPph2-R02-005,Kayhuvokan Brgy Hall,Kayhuvokan Brgy Hall,Kayhuvokan,L3-0160,5,Basco,Batanes,Luzon,LGU-BRGY,PHILCOMSAT,PHILCOMSAT,LEO,75,20.447317,121.967982,15-Sep-24,Yes,,UP,0.61,4,UP,4.36,6,UP,20.43,6,UP,4.6,8,UP,0.29,4,UP,3.26,4,UP,2.53,11,UP,1.86,5,UP,50.49,7,UP,1.89,4,UP,10.66,4,UP,4.04,6,UP,1.93,4,UP,4.19,11,UP,2.53,3,UP,1.23,7,UP,3.05,3
PICS-PP Phase 2,ONGOING,3289,PICS-PPph2-R02-006,San Joaquin Brgy Hall,San Joaquin Brgy Hall,San Joaquin,L3-0160,5,Basco,Batanes,Luzon,LGU-BRGY,PHILCOMSAT,PHILCOMSAT,LEO,75,20.447317,121.967982,15-Sep-24,Yes,,UP,0.57,2,UP,1.12,3,UP,0.39858,3,UP,0.12,2,UP,0,1,UP,1.41,2,UP,1.35,5,UP,5.1,3,UP,48.45,2,UP,0.81118,4,UP,1.83,2,UP,0.1,2,UP,0,4,UP,3.93,3,UP,4.56,4,UP,1.18,3,DOWN,1/29/2026,
PICS-PP Phase 2,ONGOING,131357,PICS-PPph2-R02-007,Public Market - Agan Building,Public Market - Agan Building,Kayhuvokan,L3-0160,5,Basco,Batanes,Luzon,MKT,PHILCOMSAT,PHILCOMSAT,LEO,75,20.451372,121.968352,15-Sep-24,Yes,,UP,3.27,7,UP,0,1,UP,4.15,7,UP,0.27,1,UP,0,1,UP,0.01,1,UP,1.59,5,UP,2.59,2,UP,18.22,12,UP,0.71,6,UP,0.01,3,UP,0,3,UP,0.51,10,UP,0.32,3,UP,0,4,UP,4.7,4,UP,2.61,6
PICS-PP Phase 2,ONGOING,121747,PICS-PPph2-R02-008,TESDA,TESDA,San Antonio,L3-0160,5,Basco,Batanes,Luzon,TESDA,PHILCOMSAT,PHILCOMSAT,LEO,75,20.449065,121.96907,15-Sep-24,Yes,,UP,1.8,5,UP,0.00019,1,UP,0,1,UP,0,0,UP,0,0,UP,0.388,1,UP,0,0,UP,0.0007,1,UP,2.57,1,UP,0.00033,1,UP,0.00528,2,UP,0,0,UP,13.71,2,UP,0.00005,1,UP,0.05954,1,UP,0,0,UP,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
